"","Item","CD","Freq","PairsPerTrial","Cond","file","Correct"
"1",10,18,3,4,"2 Subsets","2_x8_39_4x4",0.5
"2",11,18,3,4,"2 Subsets","2_x8_39_4x4",0.4
"3",12,18,3,4,"2 Subsets","2_x8_39_4x4",0.166666666666667
"4",13,18,3,4,"2 Subsets","2_x8_39_4x4",0.3
"5",14,18,3,4,"2 Subsets","2_x8_39_4x4",0.366666666666667
"6",15,18,3,4,"2 Subsets","2_x8_39_4x4",0.6
"7",16,18,3,4,"2 Subsets","2_x8_39_4x4",0.4
"8",17,18,3,4,"2 Subsets","2_x8_39_4x4",0.233333333333333
"9",18,18,3,4,"2 Subsets","2_x8_39_4x4",0.166666666666667
"10",1,18,9,4,"2 Subsets","2_x8_39_4x4",0.7
"11",2,18,9,4,"2 Subsets","2_x8_39_4x4",0.466666666666667
"12",3,18,9,4,"2 Subsets","2_x8_39_4x4",0.466666666666667
"13",4,18,9,4,"2 Subsets","2_x8_39_4x4",0.266666666666667
"14",5,18,9,4,"2 Subsets","2_x8_39_4x4",0.333333333333333
"15",6,18,9,4,"2 Subsets","2_x8_39_4x4",0.366666666666667
"16",7,18,9,4,"2 Subsets","2_x8_39_4x4",0.566666666666667
"17",8,18,9,4,"2 Subsets","2_x8_39_4x4",0.733333333333333
"18",9,18,9,4,"2 Subsets","2_x8_39_4x4",0.366666666666667
"19",1,18,3,4,"3 Subsets","3_x8_369_4x4",0.433333333333333
"20",2,18,3,4,"3 Subsets","3_x8_369_4x4",0.566666666666667
"21",3,18,3,4,"3 Subsets","3_x8_369_4x4",0.366666666666667
"22",4,18,3,4,"3 Subsets","3_x8_369_4x4",0.266666666666667
"23",5,18,3,4,"3 Subsets","3_x8_369_4x4",0.333333333333333
"24",6,18,3,4,"3 Subsets","3_x8_369_4x4",0.366666666666667
"25",7,18,6,4,"3 Subsets","3_x8_369_4x4",0.7
"26",8,18,6,4,"3 Subsets","3_x8_369_4x4",0.466666666666667
"27",9,18,6,4,"3 Subsets","3_x8_369_4x4",0.166666666666667
"28",10,18,6,4,"3 Subsets","3_x8_369_4x4",0.3
"29",11,18,6,4,"3 Subsets","3_x8_369_4x4",0.3
"30",12,18,6,4,"3 Subsets","3_x8_369_4x4",0.333333333333333
"31",13,18,9,4,"3 Subsets","3_x8_369_4x4",0.366666666666667
"32",14,18,9,4,"3 Subsets","3_x8_369_4x4",0.433333333333333
"33",15,18,9,4,"3 Subsets","3_x8_369_4x4",0.333333333333333
"34",16,18,9,4,"3 Subsets","3_x8_369_4x4",0.6
"35",17,18,9,4,"3 Subsets","3_x8_369_4x4",0.366666666666667
"36",18,18,9,4,"3 Subsets","3_x8_369_4x4",0.333333333333333
"37",1,6,3,3,"Varied Freq Low CD","block1_369-3x3loCD",0.294117647058824
"38",2,6,3,3,"Varied Freq Low CD","block1_369-3x3loCD",0.323529411764706
"39",3,6,3,3,"Varied Freq Low CD","block1_369-3x3loCD",0.264705882352941
"40",4,6,3,3,"Varied Freq Low CD","block1_369-3x3loCD",0.235294117647059
"41",5,6,3,3,"Varied Freq Low CD","block1_369-3x3loCD",0.294117647058824
"42",6,6,3,3,"Varied Freq Low CD","block1_369-3x3loCD",0.176470588235294
"43",7,6,6,3,"Varied Freq Low CD","block1_369-3x3loCD",0.323529411764706
"44",8,6,6,3,"Varied Freq Low CD","block1_369-3x3loCD",0.647058823529412
"45",9,6,6,3,"Varied Freq Low CD","block1_369-3x3loCD",0.352941176470588
"46",10,6,6,3,"Varied Freq Low CD","block1_369-3x3loCD",0.352941176470588
"47",11,6,6,3,"Varied Freq Low CD","block1_369-3x3loCD",0.647058823529412
"48",12,6,6,3,"Varied Freq Low CD","block1_369-3x3loCD",0.352941176470588
"49",13,6,9,3,"Varied Freq Low CD","block1_369-3x3loCD",0.764705882352941
"50",14,6,9,3,"Varied Freq Low CD","block1_369-3x3loCD",0.764705882352941
"51",15,6,9,3,"Varied Freq Low CD","block1_369-3x3loCD",0.882352941176471
"52",16,6,9,3,"Varied Freq Low CD","block1_369-3x3loCD",0.705882352941177
"53",17,6,9,3,"Varied Freq Low CD","block1_369-3x3loCD",0.676470588235294
"54",18,6,9,3,"Varied Freq Low CD","block1_369-3x3loCD",0.676470588235294
"55",1,18,3,3,"Varied Freq","block2_369-3x3hiCD",0.555555555555556
"56",2,18,3,3,"Varied Freq","block2_369-3x3hiCD",0.416666666666667
"57",3,18,3,3,"Varied Freq","block2_369-3x3hiCD",0.416666666666667
"58",4,18,3,3,"Varied Freq","block2_369-3x3hiCD",0.5
"59",5,18,3,3,"Varied Freq","block2_369-3x3hiCD",0.361111111111111
"60",6,18,3,3,"Varied Freq","block2_369-3x3hiCD",0.277777777777778
"61",7,18,6,3,"Varied Freq","block2_369-3x3hiCD",0.638888888888889
"62",8,18,6,3,"Varied Freq","block2_369-3x3hiCD",0.388888888888889
"63",9,18,6,3,"Varied Freq","block2_369-3x3hiCD",0.555555555555556
"64",10,18,6,3,"Varied Freq","block2_369-3x3hiCD",0.361111111111111
"65",11,18,6,3,"Varied Freq","block2_369-3x3hiCD",0.583333333333333
"66",12,18,6,3,"Varied Freq","block2_369-3x3hiCD",0.555555555555556
"67",13,18,9,3,"Varied Freq","block2_369-3x3hiCD",0.611111111111111
"68",14,18,9,3,"Varied Freq","block2_369-3x3hiCD",0.333333333333333
"69",15,18,9,3,"Varied Freq","block2_369-3x3hiCD",0.611111111111111
"70",16,18,9,3,"Varied Freq","block2_369-3x3hiCD",0.333333333333333
"71",17,18,9,3,"Varied Freq","block2_369-3x3hiCD",0.5
"72",18,18,9,3,"Varied Freq","block2_369-3x3hiCD",0.611111111111111
"73",1,18,3,3,"Varied Freq High CD","block2_369-3x3hiCD",0.75
"74",2,18,3,3,"Varied Freq High CD","block2_369-3x3hiCD",0.411764705882353
"75",3,18,3,3,"Varied Freq High CD","block2_369-3x3hiCD",0.514705882352941
"76",4,18,3,3,"Varied Freq High CD","block2_369-3x3hiCD",0.411764705882353
"77",5,18,3,3,"Varied Freq High CD","block2_369-3x3hiCD",0.485294117647059
"78",6,18,3,3,"Varied Freq High CD","block2_369-3x3hiCD",0.382352941176471
"79",7,18,6,3,"Varied Freq High CD","block2_369-3x3hiCD",0.764705882352941
"80",8,18,6,3,"Varied Freq High CD","block2_369-3x3hiCD",0.573529411764706
"81",9,18,6,3,"Varied Freq High CD","block2_369-3x3hiCD",0.823529411764706
"82",10,18,6,3,"Varied Freq High CD","block2_369-3x3hiCD",0.485294117647059
"83",11,18,6,3,"Varied Freq High CD","block2_369-3x3hiCD",0.676470588235294
"84",12,18,6,3,"Varied Freq High CD","block2_369-3x3hiCD",0.661764705882353
"85",13,18,9,3,"Varied Freq High CD","block2_369-3x3hiCD",0.691176470588235
"86",14,18,9,3,"Varied Freq High CD","block2_369-3x3hiCD",0.602941176470588
"87",15,18,9,3,"Varied Freq High CD","block2_369-3x3hiCD",0.691176470588235
"88",16,18,9,3,"Varied Freq High CD","block2_369-3x3hiCD",0.558823529411765
"89",17,18,9,3,"Varied Freq High CD","block2_369-3x3hiCD",0.617647058823529
"90",18,18,9,3,"Varied Freq High CD","block2_369-3x3hiCD",0.617647058823529
"91",1,12,3,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.363636363636364
"92",2,12,3,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.333333333333333
"93",3,12,3,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.393939393939394
"94",4,12,3,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.242424242424242
"95",5,12,3,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.333333333333333
"96",6,12,3,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.196969696969697
"97",7,12,6,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.5
"98",8,12,6,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.590909090909091
"99",9,12,6,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.378787878787879
"100",10,12,6,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.393939393939394
"101",11,12,6,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.378787878787879
"102",12,12,6,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.378787878787879
"103",13,6,9,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.575757575757576
"104",14,6,9,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.651515151515151
"105",15,6,9,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.772727272727273
"106",16,6,9,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.378787878787879
"107",17,6,9,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.696969696969697
"108",18,6,9,3,"Varied Freq 3 & 6 Mixed","block3_369_36mx",0.606060606060606
"109",1,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.75
"110",2,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.5
"111",3,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.55
"112",4,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.5
"113",5,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.5
"114",6,12,3,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.625
"115",7,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.85
"116",8,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.55
"117",9,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.325
"118",10,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.475
"119",11,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.65
"120",12,6,6,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.525
"121",13,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.7
"122",14,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.875
"123",15,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.675
"124",16,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.8
"125",17,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.65
"126",18,12,9,3,"Varied Freq 3 & 9 Mixed","block4_369_39mx",0.7
"127",1,6,6,3,"Varied CD","cont_div6-12",0.403225806451613
"128",2,6,6,3,"Varied CD","cont_div6-12",0.419354838709677
"129",3,6,6,3,"Varied CD","cont_div6-12",0.306451612903226
"130",4,6,6,3,"Varied CD","cont_div6-12",0.32258064516129
"131",5,6,6,3,"Varied CD","cont_div6-12",0.338709677419355
"132",6,6,6,3,"Varied CD","cont_div6-12",0.258064516129032
"133",7,12,6,3,"Varied CD","cont_div6-12",0.548387096774194
"134",8,12,6,3,"Varied CD","cont_div6-12",0.645161290322581
"135",9,12,6,3,"Varied CD","cont_div6-12",0.483870967741935
"136",10,12,6,3,"Varied CD","cont_div6-12",0.532258064516129
"137",11,12,6,3,"Varied CD","cont_div6-12",0.354838709677419
"138",12,12,6,3,"Varied CD","cont_div6-12",0.387096774193548
"139",13,12,6,3,"Varied CD","cont_div6-12",0.419354838709677
"140",14,12,6,3,"Varied CD","cont_div6-12",0.516129032258065
"141",15,12,6,3,"Varied CD","cont_div6-12",0.612903225806452
"142",16,12,6,3,"Varied CD","cont_div6-12",0.370967741935484
"143",17,12,6,3,"Varied CD","cont_div6-12",0.564516129032258
"144",18,12,6,3,"Varied CD","cont_div6-12",0.338709677419355
"145",1,18,6,3,"3x3","orig_3x3",0.555555555555556
"146",2,18,6,3,"3x3","orig_3x3",0.472222222222222
"147",3,18,6,3,"3x3","orig_3x3",0.416666666666667
"148",4,18,6,3,"3x3","orig_3x3",0.5
"149",5,18,6,3,"3x3","orig_3x3",0.472222222222222
"150",6,18,6,3,"3x3","orig_3x3",0.305555555555556
"151",7,18,6,3,"3x3","orig_3x3",0.305555555555556
"152",8,18,6,3,"3x3","orig_3x3",0.444444444444444
"153",9,18,6,3,"3x3","orig_3x3",0.333333333333333
"154",10,18,6,3,"3x3","orig_3x3",0.277777777777778
"155",11,18,6,3,"3x3","orig_3x3",0.5
"156",12,18,6,3,"3x3","orig_3x3",0.472222222222222
"157",13,18,6,3,"3x3","orig_3x3",0.416666666666667
"158",14,18,6,3,"3x3","orig_3x3",0.472222222222222
"159",15,18,6,3,"3x3","orig_3x3",0.5
"160",16,18,6,3,"3x3","orig_3x3",0.472222222222222
"161",17,18,6,3,"3x3","orig_3x3",0.361111111111111
"162",18,18,6,3,"3x3","orig_3x3",0.388888888888889
"163",1,18,6,4,"4x4","orig_4x4",0.381578947368421
"164",2,18,6,4,"4x4","orig_4x4",0.276315789473684
"165",3,18,6,4,"4x4","orig_4x4",0.289473684210526
"166",4,18,6,4,"4x4","orig_4x4",0.342105263157895
"167",5,18,6,4,"4x4","orig_4x4",0.342105263157895
"168",6,18,6,4,"4x4","orig_4x4",0.289473684210526
"169",7,18,6,4,"4x4","orig_4x4",0.276315789473684
"170",8,18,6,4,"4x4","orig_4x4",0.355263157894737
"171",9,18,6,4,"4x4","orig_4x4",0.25
"172",10,18,6,4,"4x4","orig_4x4",0.289473684210526
"173",11,18,6,4,"4x4","orig_4x4",0.539473684210526
"174",12,18,6,4,"4x4","orig_4x4",0.263157894736842
"175",13,18,6,4,"4x4","orig_4x4",0.276315789473684
"176",14,18,6,4,"4x4","orig_4x4",0.342105263157895
"177",15,18,6,4,"4x4","orig_4x4",0.289473684210526
"178",16,18,6,4,"4x4","orig_4x4",0.328947368421053
"179",17,18,6,4,"4x4","orig_4x4",0.289473684210526
"180",18,18,6,4,"4x4","orig_4x4",0.263157894736842
